2026-03-16 14:20:40,790 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:20:49,763 | apscheduler.executors.default | INFO | Running job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:21:34 UTC)" (scheduled at 2026-03-16 11:20:49.752652+00:00)
2026-03-16 14:20:49,764 | __main__ | INFO | Signal check skipped - waiting for active trade to finish
2026-03-16 14:20:49,764 | apscheduler.executors.default | INFO | Job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:21:34 UTC)" executed successfully
2026-03-16 14:20:52,252 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:21:03,987 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:21:09,942 | apscheduler.executors.default | INFO | Running job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:21:39 UTC)" (scheduled at 2026-03-16 11:21:09.755577+00:00)
2026-03-16 14:21:09,974 | apscheduler.executors.default | INFO | Job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:21:39 UTC)" executed successfully
2026-03-16 14:21:15,395 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:21:26,447 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:21:34,896 | apscheduler.executors.default | INFO | Running job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:22:19 UTC)" (scheduled at 2026-03-16 11:21:34.752652+00:00)
2026-03-16 14:21:34,897 | __main__ | INFO | Signal check skipped - waiting for active trade to finish
2026-03-16 14:21:34,897 | apscheduler.executors.default | INFO | Job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:22:19 UTC)" executed successfully
2026-03-16 14:21:38,129 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:21:39,765 | apscheduler.executors.default | INFO | Running job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:22:09 UTC)" (scheduled at 2026-03-16 11:21:39.755577+00:00)
2026-03-16 14:21:39,767 | apscheduler.executors.default | INFO | Job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:22:09 UTC)" executed successfully
2026-03-16 14:21:50,629 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:22:01,621 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:22:09,771 | apscheduler.executors.default | INFO | Running job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:22:39 UTC)" (scheduled at 2026-03-16 11:22:09.755577+00:00)
2026-03-16 14:22:09,773 | apscheduler.executors.default | INFO | Job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:22:39 UTC)" executed successfully
2026-03-16 14:22:15,744 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:22:19,764 | apscheduler.executors.default | INFO | Running job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:23:04 UTC)" (scheduled at 2026-03-16 11:22:19.752652+00:00)
2026-03-16 14:22:19,765 | __main__ | INFO | Signal check skipped - waiting for active trade to finish
2026-03-16 14:22:19,765 | apscheduler.executors.default | INFO | Job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:23:04 UTC)" executed successfully
2026-03-16 14:22:29,183 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:22:39,597 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:22:39,770 | apscheduler.executors.default | INFO | Running job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:23:09 UTC)" (scheduled at 2026-03-16 11:22:39.755577+00:00)
2026-03-16 14:22:39,772 | apscheduler.executors.default | INFO | Job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:23:09 UTC)" executed successfully
2026-03-16 14:22:51,444 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:23:02,094 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:23:04,765 | apscheduler.executors.default | INFO | Running job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:23:49 UTC)" (scheduled at 2026-03-16 11:23:04.752652+00:00)
2026-03-16 14:23:04,766 | __main__ | INFO | Signal check skipped - waiting for active trade to finish
2026-03-16 14:23:04,766 | apscheduler.executors.default | INFO | Job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:23:49 UTC)" executed successfully
2026-03-16 14:23:09,766 | apscheduler.executors.default | INFO | Running job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:23:39 UTC)" (scheduled at 2026-03-16 11:23:09.755577+00:00)
2026-03-16 14:23:09,768 | apscheduler.executors.default | INFO | Job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:23:39 UTC)" executed successfully
2026-03-16 14:23:12,700 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:23:22,857 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:23:33,219 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:23:39,763 | apscheduler.executors.default | INFO | Running job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:24:09 UTC)" (scheduled at 2026-03-16 11:23:39.755577+00:00)
2026-03-16 14:23:39,767 | apscheduler.executors.default | INFO | Job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:24:09 UTC)" executed successfully
2026-03-16 14:23:43,750 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:23:49,763 | apscheduler.executors.default | INFO | Running job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:24:34 UTC)" (scheduled at 2026-03-16 11:23:49.752652+00:00)
2026-03-16 14:23:49,764 | __main__ | INFO | Signal check skipped - waiting for active trade to finish
2026-03-16 14:23:49,765 | apscheduler.executors.default | INFO | Job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:24:34 UTC)" executed successfully
2026-03-16 14:23:54,111 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:24:04,348 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:24:09,773 | apscheduler.executors.default | INFO | Running job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:24:39 UTC)" (scheduled at 2026-03-16 11:24:09.755577+00:00)
2026-03-16 14:24:09,775 | apscheduler.executors.default | INFO | Job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:24:39 UTC)" executed successfully
2026-03-16 14:24:14,587 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:24:26,060 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:24:34,762 | apscheduler.executors.default | INFO | Running job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:25:19 UTC)" (scheduled at 2026-03-16 11:24:34.752652+00:00)
2026-03-16 14:24:34,762 | __main__ | INFO | Signal check skipped - waiting for active trade to finish
2026-03-16 14:24:34,763 | apscheduler.executors.default | INFO | Job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:25:19 UTC)" executed successfully
